player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
233056,First-Class,1,2,2,7,7*,,32,21.87,0,0,0,0,1,0
24808,ODI,1,0,0,0,-,,0,,0,0,0,0,1,0
24808,First-Class,5,7,2,17,7*,3.4,,,0,0,,,2,0
24808,List A,11,10,6,70,20*,17.5,143,48.95,0,0,,,2,0
308407,List A,2,2,0,12,12,6,33,36.36,0,0,0,0,0,0
308407,T20,1,1,0,19,19,19,21,90.47,0,0,1,0,2,0
827023,ODI,23,22,0,549,57,24.95,887,61.89,0,3,60,2,14,0
827023,T20I,1,1,1,17,17*,,15,113.33,0,0,1,1,0,0
827023,First-Class,12,22,0,538,110,24.45,1028,52.33,1,2,61,5,18,3
827023,List A,46,44,2,941,60,22.4,1465,64.23,0,4,85,10,28,5
827023,T20,13,13,1,306,76,25.5,221,138.46,0,2,29,15,3,2
24821,First-Class,6,10,1,120,39,13.33,418,28.7,0,0,,,11,0
24821,List A,10,9,5,109,43,27.25,,,0,0,,,13,0
524075,ODI,22,9,3,37,12*,6.16,64,57.81,0,0,2,0,5,0
524075,T20I,15,1,1,2,2*,,2,100,0,0,0,0,2,0
524075,First-Class,14,25,13,77,19,6.41,266,28.94,0,0,11,0,6,0
524075,List A,44,19,8,51,12*,4.63,103,49.51,0,0,2,0,13,0
524075,T20,30,2,2,4,2*,,4,100,0,0,0,0,4,0
595829,Women's T20I,1,1,0,0,0,0,1,0,0,0,0,0,0,0
233058,First-Class,1,2,0,20,20,10,27,74.07,0,0,4,0,0,0
233058,List A,1,1,1,16,16*,,12,133.33,0,0,2,0,0,0
24799,ODI,6,6,0,90,52,15,145,62.06,0,1,7,1,0,0
24799,List A,16,16,0,375,53,23.43,621,60.38,0,3,,,2,0
1276837,Women's T20I,8,3,2,7,5*,7,11,63.63,0,0,1,0,3,0
1158415,Women's T20I,50,38,7,295,27*,9.51,377,78.24,0,0,24,5,18,0
948653,First-Class,2,4,2,0,0*,0,10,0,0,0,0,0,0,0
948653,List A,1,1,1,2,2*,,2,100,0,0,0,0,2,0
948653,T20,3,0,0,0,-,,0,,0,0,0,0,1,0
499559,First-Class,41,80,2,1537,118,19.7,4315,35.61,4,3,203,5,13,0
499559,List A,23,23,0,331,57,14.39,658,50.3,0,1,36,2,8,0
499559,T20,1,1,0,9,9,9,16,56.25,0,0,0,0,0,0
233060,First-Class,8,14,2,88,29,7.33,194,45.36,0,0,9,1,5,0
233060,List A,5,4,0,88,35,22,90,97.77,0,0,10,0,3,0
596668,First-Class,4,8,0,78,31,9.75,184,42.39,0,0,12,0,2,0
596668,T20,3,2,1,14,12*,14,15,93.33,0,0,2,0,1,0
1119579,Women's T20I,23,11,4,46,17*,6.57,89,51.68,0,0,3,0,2,0
329690,First-Class,7,13,3,120,42,12,313,38.33,0,0,15,1,2,0
329690,List A,9,6,5,54,12*,54,64,84.37,0,0,2,1,3,0
329690,T20,3,3,2,16,11*,16,18,88.88,0,0,0,0,0,0
330223,ODI,41,23,11,176,30,14.66,293,60.06,0,0,10,2,5,0
330223,T20I,38,10,8,23,6*,11.5,39,58.97,0,0,1,0,6,0
330223,First-Class,102,170,54,1363,63,11.75,3712,36.71,0,3,175,4,23,0
330223,List A,157,90,33,556,30,9.75,982,56.61,0,0,34,8,17,0
330223,T20,120,39,24,136,25*,9.06,167,81.43,0,0,5,3,16,0
24853,First-Class,88,149,19,3321,150*,25.54,6910,48.06,3,16,,,45,0
24853,List A,103,92,18,1788,99*,24.16,2331,76.7,0,9,126,36,31,0
24853,T20,55,46,9,588,52*,15.89,601,97.83,0,1,27,15,12,0
24836,First-Class,1,2,1,6,4,6,10,60,0,0,1,0,0,0
1119577,Women's T20I,48,20,10,74,16*,7.4,104,71.15,0,0,8,0,13,0
1069820,ODI,14,8,6,9,2*,4.5,37,24.32,0,0,0,0,3,0
1069820,T20I,22,1,0,0,0,0,1,0,0,0,0,0,7,0
1069820,First-Class,2,4,2,8,4*,4,68,11.76,0,0,0,0,0,0
1069820,List A,21,13,8,18,4*,3.6,65,27.69,0,0,0,0,4,0
1069820,T20,29,1,0,0,0,0,1,0,0,0,0,0,11,0
1158418,Women's T20I,11,2,1,3,3,3,7,42.85,0,0,0,0,1,0
