player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
214265,List A,112,106,7,3728,134,37.65,4223,88.27,7,29,409,28,28,0
214265,T20,111,99,11,2569,109*,29.19,1988,129.22,2,10,282,55,41,0
22373,First-Class,62,104,6,2841,156,28.98,,,7,9,,,37,0
22373,List A,54,53,5,937,80*,19.52,,,0,4,,,11,0
22373,T20,5,3,1,74,34*,37,55,134.54,0,0,8,1,3,0
22375,First-Class,237,417,34,12789,205,33.39,,,24,64,,,133,0
22375,List A,198,184,13,4385,134,25.64,,,4,24,,,45,0
22375,T20,7,5,2,167,73*,55.66,132,126.51,0,1,19,4,3,0
22380,ODI,13,5,3,19,9,9.5,28,67.85,0,0,0,1,1,0
22380,First-Class,121,184,29,3570,128*,23.03,,,6,14,,,63,0
22380,List A,155,109,22,1411,72,16.21,,,0,1,,,42,0
22380,T20,34,20,7,157,19,12.07,130,120.76,0,0,12,6,5,0
22381,Tests,1,2,0,20,13,10,,,0,0,,0,0,0
22381,First-Class,482,745,69,21796,199,32.24,,,31,110,,,288,0
22381,List A,1,1,0,0,0,0,,,0,0,0,0,1,0
297617,First-Class,162,234,29,7216,204*,35.2,11517,62.65,12,39,932,69,284,21
297617,List A,89,72,5,1924,135,28.71,1935,99.43,2,11,179,34,51,14
297617,T20,129,106,16,1736,78,19.28,1398,124.17,0,4,171,33,51,29
53870,,7,10,2,38,10,4.75,,,0,0,,,3,0
53756,,1,0,0,0,-,,0,,0,0,0,0,0,0
22390,First-Class,18,24,6,72,16,4,,,0,0,,,3,0
22390,List A,23,7,6,28,14*,28,45,62.22,0,0,,,5,0
22392,Tests,1,1,0,11,11,11,34,32.35,0,0,1,0,1,0
22392,ODI,2,2,1,48,44*,48,65,73.84,0,0,2,1,1,0
22392,First-Class,315,497,51,17198,218,38.56,,,38,80,,,172,0
22392,List A,282,264,24,7770,155,32.37,,,6,47,,,66,0
22403,Tests,30,50,7,1052,121,24.46,2437,43.16,1,5,119,12,14,0
22403,ODI,51,41,5,568,57*,15.77,928,61.2,0,1,28,4,12,0
22403,First-Class,276,438,57,12395,186,32.53,,,21,62,,,167,0
22403,List A,362,323,47,7317,148,26.51,,,5,30,,,101,0
22403,T20,33,31,0,570,55,18.38,493,115.61,0,2,71,13,8,0
22405,Tests,2,2,0,0,0,0,,,0,0,0,0,0,0
22405,First-Class,337,395,104,3080,58*,10.58,,,0,5,,,106,0
22405,List A,60,41,11,302,28,10.06,,,0,0,,,10,0
23513,First-Class,39,55,5,659,65,13.18,1349,48.85,0,2,85,9,12,0
23513,List A,89,53,16,558,41*,15.08,649,85.97,0,0,51,12,29,0
23513,T20,148,64,30,486,37*,14.29,360,135,0,0,41,23,58,0
22408,Tests,15,22,9,239,29,18.38,,,0,0,,0,6,0
22408,First-Class,472,765,102,12202,192,18.4,,,6,41,,,428,0
53871,,3,5,0,75,40,15,,,0,0,,,1,0
22420,Tests,4,7,0,209,76,29.85,,,0,2,,1,7,0
22420,First-Class,371,601,44,21592,248,38.76,,,51,103,,,317,15
22430,First-Class,119,167,21,3688,144,25.26,,,5,13,,,40,0
22430,List A,156,112,31,1483,91,18.3,,,0,7,,,35,0
53872,,3,3,0,66,27,22,,,0,0,,,0,0
53874,,13,24,2,436,90,19.81,,,0,3,,,7,0
22434,Tests,3,2,1,3,2,3,,,0,0,0,0,0,0
22434,First-Class,77,69,27,321,48,7.64,,,0,0,,,53,0
53875,,9,7,0,51,17,7.28,,,0,0,,,0,0
308251,ODI,64,37,15,538,51,24.45,602,89.36,0,2,46,15,26,0
308251,,43,26,11,226,33*,15.06,173,130.63,0,0,15,13,17,0
308251,First-Class,77,108,16,2515,104*,27.33,3945,63.75,2,14,302,58,18,0
308251,List A,147,102,23,2020,167,25.56,2119,95.32,3,7,174,73,52,0
308251,T20,270,203,45,3720,118,23.54,2749,135.32,2,14,288,183,115,0
22442,Tests,26,50,6,1184,102*,26.9,2794,42.37,2,5,160,4,3,0
22442,ODI,26,24,1,538,64,23.39,855,62.92,0,5,49,0,4,0
22442,First-Class,559,918,121,24361,227,30.56,,,44,101,,,235,0
22442,List A,458,436,43,11105,154,28.25,,,10,67,,,124,0
22453,Tests,1,1,0,38,38,38,52,73.07,0,0,6,0,0,0
22453,First-Class,255,302,63,4457,77,18.64,,,0,13,,,67,0
22453,List A,225,116,41,1039,43,13.85,,,0,0,,,48,0
22457,First-Class,284,447,65,11817,175*,30.93,,,18,55,,,99,0
22457,List A,266,223,48,4263,94,24.36,,,0,22,,,69,0
22462,Tests,90,128,55,840,28*,11.5,2574,32.63,0,0,79,1,39,0
22462,ODI,64,22,14,83,24,10.37,157,52.86,0,0,6,0,22,0
22462,First-Class,308,333,145,2690,72,14.3,,,0,2,,,134,0
22462,List A,293,113,48,615,52*,9.46,,,0,1,,,84,0
22466,Tests,2,4,1,42,18,14,,,0,0,,0,0,0
22466,First-Class,52,80,10,1665,115,23.78,,,1,10,,,34,0
22469,Tests,6,7,1,75,42,12.5,,,0,0,7,1,1,0
22469,First-Class,422,533,91,6230,112,14.09,,,1,10,,,250,0
22469,List A,65,51,8,501,46,11.65,,,0,0,,,22,0
22471,Tests,1,2,0,10,5,5,47,21.27,0,0,0,0,0,0
22471,First-Class,136,190,28,3565,142,22,,,4,15,,,106,0
466619,,1,1,0,13,13,13,53,24.52,0,0,0,0,0,0
466619,,33,23,2,468,85*,22.28,532,87.96,0,2,41,5,14,0
466619,,30,26,10,356,43*,22.25,359,99.16,0,0,22,2,7,0
22475,First-Class,17,26,4,353,55,16.04,,,0,1,,,37,3
22475,List A,19,13,2,50,17,4.54,,,0,0,,,17,3
22478,First-Class,170,302,21,9103,184,32.39,,,16,47,,,92,0
22478,List A,225,211,28,4936,117,26.97,,,3,25,,,74,0
22478,T20,10,7,1,69,29,11.5,83,83.13,0,0,4,1,6,0
517572,,5,9,0,166,35,18.44,510,32.54,0,0,22,2,1,0
517572,,55,55,4,1186,123,23.25,1789,66.29,1,3,136,7,19,0
517572,,44,35,6,596,74,20.55,552,107.97,0,3,71,5,17,1
53881,,7,5,3,24,15,12,,,0,0,,,1,0
518666,First-Class,2,0,0,0,-,,0,,0,0,0,0,0,0
518666,List A,1,0,0,0,-,,0,,0,0,0,0,0,0
247235,Tests,48,79,15,1754,137*,27.4,3306,53.05,1,6,225,7,20,0
247235,ODI,112,78,22,1386,95*,24.75,1543,89.82,0,5,103,19,47,0
247235,,29,14,7,140,37,20,100,140,0,0,9,7,10,0
247235,First-Class,167,249,53,6422,152*,32.76,,,10,25,,,68,0
247235,List A,194,131,38,2127,95*,22.87,2363,90.01,0,6,160,32,64,0
247235,T20,147,87,44,961,57*,22.34,712,134.97,0,2,77,34,54,0
1146066,,1,0,0,0,-,,0,,0,0,0,0,1,0
1146066,,3,0,0,0,-,,0,,0,0,0,0,2,0
1146066,,10,2,0,13,13,6.5,14,92.85,0,0,1,0,2,0
22496,Tests,4,5,1,80,53,20,,,0,1,,0,10,1
22496,First-Class,420,500,83,8842,123*,21.2,,,1,43,,,631,255
22498,Tests,12,21,0,454,90,21.61,,,0,2,64,0,6,0
22498,ODI,13,12,2,314,78*,31.4,647,48.53,0,2,,,6,0
22498,First-Class,357,591,75,17453,198,33.82,,,30,81,,,283,0
22498,List A,291,254,41,6041,116,28.36,,,3,39,,,116,0
310525,First-Class,43,62,6,1326,105*,23.67,2051,64.65,1,6,176,13,14,0
310525,List A,79,45,14,400,41,12.9,413,96.85,0,0,36,4,24,0
310525,T20,185,70,27,504,31,11.72,454,111.01,0,0,42,11,45,0
22500,Tests,3,2,0,7,6,3.5,,,0,0,,0,5,1
22500,First-Class,101,157,18,2773,128,19.94,,,1,10,,,116,53
226318,List A,1,1,0,26,26,26,25,104,0,0,4,0,0,0
22502,Tests,4,4,1,204,134*,68,,,1,1,,0,2,1
22502,First-Class,316,422,96,5523,134*,16.94,,,1,17,,,556,118
573170,ODI,1,1,0,10,10,10,10,100,0,0,1,0,0,0
573170,,4,1,0,3,3,3,4,75,0,0,0,0,1,0
573170,First-Class,61,89,16,1882,119,25.78,3174,59.29,2,7,265,12,19,0
573170,List A,5,4,2,83,52,41.5,71,116.9,0,1,8,2,0,0
573170,T20,121,47,21,224,33*,8.61,216,103.7,0,0,11,6,40,0
351588,Tests,31,52,9,724,52,16.83,1031,70.22,0,1,95,18,8,0
351588,ODI,59,19,11,72,14,9,91,79.12,0,0,7,0,13,0
351588,,28,3,3,11,5*,,13,84.61,0,0,1,0,3,0
351588,First-Class,72,116,21,1890,72*,19.89,3178,59.47,0,5,256,24,17,0
351588,List A,93,35,16,134,24,7.05,174,77.01,0,0,10,1,23,0
351588,T20,53,16,9,118,27*,16.85,109,108.25,0,0,11,1,9,0
22509,First-Class,136,236,21,7052,207,32.8,,,16,31,,,118,0
22509,List A,152,141,15,3464,160,27.49,,,5,16,,,60,0
22509,T20,15,15,3,328,96*,27.33,266,123.3,0,2,35,7,11,0
22511,First-Class,30,45,5,1179,155,29.47,,,1,5,,,5,0
22511,List A,2,2,0,73,50,36.5,,,0,1,,,0,0
53877,,1,1,0,4,4,4,,,0,0,,,0,0
22512,Tests,1,2,0,6,6,3,,,0,0,0,0,0,0
22512,First-Class,12,20,5,235,52,15.66,,,0,2,,,5,0
351998,First-Class,3,4,1,77,45,25.66,192,40.1,0,0,7,0,0,0
351998,List A,13,7,0,64,32,9.14,97,65.97,0,0,6,0,6,0
351998,T20,24,14,6,94,17,11.75,82,114.63,0,0,4,2,5,0
216186,First-Class,10,16,2,213,46*,15.21,636,33.49,0,0,,,3,0
216186,List A,5,1,0,14,14,14,12,116.66,0,0,0,1,2,0
216186,T20,2,2,2,1,1*,,1,100,0,0,0,0,0,0
22492,Tests,6,10,0,154,53,15.4,,,0,1,,0,5,0
22492,First-Class,401,690,35,15345,215,23.42,,,19,62,,,279,0
22518,Tests,64,98,7,3283,154,36.07,,,5,23,,15,64,0
22518,First-Class,978,1530,84,58959,305*,40.77,,,145,295,,,1018,0
22520,Tests,19,34,2,1059,149,33.09,2734,38.73,3,2,131,2,10,0
22520,ODI,6,4,0,21,9,5.25,46,45.65,0,0,1,0,3,0
22520,First-Class,350,545,75,15772,203,33.55,,,34,71,,,239,1
22520,List A,290,235,35,4078,112*,20.39,,,1,17,,,98,0
22526,Tests,9,11,0,321,128,29.18,,,1,1,,0,8,0
22526,First-Class,453,720,59,19221,238*,29.07,,,31,94,,,339,0
23515,First-Class,89,146,10,3684,172,27.08,7291,50.52,6,16,508,14,47,0
23515,List A,73,66,12,1332,79,24.66,1763,75.55,0,7,101,14,16,0
23515,T20,66,51,15,645,63*,17.91,605,106.61,0,2,41,12,15,0
22534,Tests,3,4,0,125,71,31.25,,,0,1,,0,0,0
22534,First-Class,265,461,21,6989,114,15.88,,,2,30,,,195,40
22536,Tests,34,39,13,289,45,11.11,,,0,0,,0,10,0
22536,First-Class,497,703,225,5903,84*,12.34,,,0,16,,,182,0
23460,ODI,50,39,4,707,52,20.2,820,86.21,0,2,63,18,18,0
23460,,51,45,5,759,99*,18.97,554,137,0,4,68,31,14,0
23460,First-Class,144,223,23,7622,226*,38.11,11628,65.54,17,38,,,58,0
23460,List A,211,176,21,5126,166,33.07,,,11,19,,,66,0
23460,T20,344,320,28,8526,153*,29.19,5970,142.81,7,46,904,301,103,0
53878,,2,3,0,18,12,6,,,0,0,,,0,0
53878,,1,0,0,0,-,,0,,0,0,0,0,0,0
254168,,1,2,0,98,54,49,137,71.53,0,1,12,0,1,0
254168,,105,91,13,1841,129,23.6,2093,87.95,2,5,192,26,24,0
254168,,148,127,12,2527,124,21.97,1994,126.73,2,12,305,36,35,0
22545,Tests,40,64,6,1839,149,31.7,,,2,12,,6,16,0
22545,First-Class,739,1141,157,39405,232,40.04,,,85,207,,,416,1
